abridesstory,https://yenpress.com/titles/9798855422627-a-bride-s-story-vol-15,Yen Press,A Bride's Story,15,Digital,9798855422627,2025-12-16,JP,manga
abridesstory,https://yenpress.com/titles/9780316180993-a-bride-s-story-vol-1,Yen Press,A Bride's Story,1,Hardback,9780316180993,2011-05-31,JP,manga
abridesstory,https://yenpress.com/titles/9780316194464-a-bride-s-story-vol-2,Yen Press,A Bride's Story,2,Hardback,9780316194464,2011-10-25,JP,manga
abridesstory,https://yenpress.com/titles/9780316210348-a-bride-s-story-vol-3,Yen Press,A Bride's Story,3,Hardback,9780316210348,2012-03-27,JP,manga
abridesstory,https://yenpress.com/titles/9780316232036-a-bride-s-story-vol-4,Yen Press,A Bride's Story,4,Hardback,9780316232036,2013-01-22,JP,manga
abridesstory,https://yenpress.com/titles/9780316243094-a-bride-s-story-vol-5,Yen Press,A Bride's Story,5,Hardback,9780316243094,2013-09-24,JP,manga
abridesstory,https://yenpress.com/titles/9780316336109-a-bride-s-story-vol-6,Yen Press,A Bride's Story,6,Hardback,9780316336109,2014-10-28,JP,manga
abridesstory,https://yenpress.com/titles/9780316348935-a-bride-s-story-vol-7,Yen Press,A Bride's Story,7,Hardback,9780316348935,2015-11-17,JP,manga
abridesstory,https://yenpress.com/titles/9780316317627-a-bride-s-story-vol-8,Yen Press,A Bride's Story,8,Hardback,9780316317627,2016-09-27,JP,manga
abridesstory,https://yenpress.com/titles/9780316562621-a-bride-s-story-vol-9,Yen Press,A Bride's Story,9,Hardback,9780316562621,2017-09-26,JP,manga
abridesstory,https://yenpress.com/titles/9781975327989-a-bride-s-story-vol-10,Yen Press,A Bride's Story,10,Hardback,9781975327989,2018-11-27,JP,manga
abridesstory,https://yenpress.com/titles/9781975384920-a-bride-s-story-vol-11,Yen Press,A Bride's Story,11,Hardback,9781975384920,2019-08-27,JP,manga
abridesstory,https://yenpress.com/titles/9781975333195-a-bride-s-story-vol-12,Yen Press,A Bride's Story,12,Hardback,9781975333195,2020-09-22,JP,manga
abridesstory,https://yenpress.com/titles/9781975341459-a-bride-s-story-vol-13,Yen Press,A Bride's Story,13,Hardback,9781975341459,2022-04-19,JP,manga
abridesstory,https://yenpress.com/titles/9781975373931-a-bride-s-story-vol-14,Yen Press,A Bride's Story,14,Hardback,9781975373931,2023-09-19,JP,manga
abridesstory,https://yenpress.com/titles/9798855422610-a-bride-s-story-vol-15,Yen Press,A Bride's Story,15,Hardback,9798855422610,2025-12-16,JP,manga
abriefmomentofichika1,https://www.penguinrandomhouse.com/books/746803/a-brief-moment-of-ichika-1-by-natsu-tadano/9781647291525,Kodansha,A Brief Moment of Ichika,1,Paperback,9781647291525,2024-04-23,JP,manga
abriefmomentofichika2,https://www.penguinrandomhouse.com/books/746804/a-brief-moment-of-ichika-2-by-natsu-tadano/9781647291631,Kodansha,A Brief Moment of Ichika,2,Paperback,9781647291631,2024-07-02,JP,manga
abriefmomentofichika3,https://www.penguinrandomhouse.com/books/746805/a-brief-moment-of-ichika-3-by-natsu-tadano/9781647291716,Kodansha,A Brief Moment of Ichika,3,Paperback,9781647291716,2024-10-08,JP,manga
absoluteduo,https://sevenseasentertainment.com/books/absolute-duo-vol-1/,Seven Seas Entertainment,Absolute Duo,1,Physical,978-1-626925-39-7,2017-08-29,JP,manga
absoluteduo,https://sevenseasentertainment.com/books/absolute-duo-vol-2/,Seven Seas Entertainment,Absolute Duo,2,Physical,978-1-626926-64-6,2017-12-26,JP,manga
absoluteduo,https://sevenseasentertainment.com/books/absolute-duo-vol-3/,Seven Seas Entertainment,Absolute Duo,3,Physical,978-1-626927-16-2,2018-04-03,JP,manga
absoluteduo,https://sevenseasentertainment.com/books/absolute-duo-vol-4/,Seven Seas Entertainment,Absolute Duo,4,Physical,978-1-626929-39-5,2018-11-27,JP,manga
abusinessproposal,https://yenpress.com/titles/9798400900327-a-business-proposal-vol-1,Ize Press,A Business Proposal,1,Digital,9798400900327,2023-05-23,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400900419-a-business-proposal-vol-2,Ize Press,A Business Proposal,2,Digital,9798400900419,2023-08-22,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400900433-a-business-proposal-vol-3,Ize Press,A Business Proposal,3,Digital,9798400900433,2023-11-21,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400900457-a-business-proposal-vol-4,Ize Press,A Business Proposal,4,Digital,9798400900457,2024-02-20,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400901577-a-business-proposal-vol-5,Ize Press,A Business Proposal,5,Digital,9798400901577,2024-05-21,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400901720-a-business-proposal-vol-6,Ize Press,A Business Proposal,6,Digital,9798400901720,2024-08-20,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400901744-a-business-proposal-vol-7,Ize Press,A Business Proposal,7,Digital,9798400901744,2024-11-19,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400901768-a-business-proposal-vol-8,Ize Press,A Business Proposal,8,Digital,9798400901768,2025-02-18,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400901782-a-business-proposal-vol-9,Ize Press,A Business Proposal,9,Digital,9798400901782,2025-05-20,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400901805-a-business-proposal-vol-10,Ize Press,A Business Proposal,10,Digital,9798400901805,2025-08-19,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400900334-a-business-proposal-vol-1,Ize Press,A Business Proposal,1,Paperback,9798400900334,2023-05-23,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400900402-a-business-proposal-vol-2,Ize Press,A Business Proposal,2,Paperback,9798400900402,2023-08-22,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400900426-a-business-proposal-vol-3,Ize Press,A Business Proposal,3,Paperback,9798400900426,2023-11-21,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400900440-a-business-proposal-vol-4,Ize Press,A Business Proposal,4,Paperback,9798400900440,2024-02-20,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400901560-a-business-proposal-vol-5,Ize Press,A Business Proposal,5,Paperback,9798400901560,2024-05-21,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400901713-a-business-proposal-vol-6,Ize Press,A Business Proposal,6,Paperback,9798400901713,2024-08-20,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400901737-a-business-proposal-vol-7,Ize Press,A Business Proposal,7,Paperback,9798400901737,2024-11-19,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400901751-a-business-proposal-vol-8,Ize Press,A Business Proposal,8,Paperback,9798400901751,2025-02-18,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400901775-a-business-proposal-vol-9,Ize Press,A Business Proposal,9,Paperback,9798400901775,2025-05-20,KR,manhwa
abusinessproposal,https://yenpress.com/titles/9798400901799-a-business-proposal-vol-10,Ize Press,A Business Proposal,10,Paperback,9798400901799,2025-08-19,KR,manhwa
acatfromourworldandtheforgottenwitch,https://sevenseasentertainment.com/books/a-cat-from-our-world-and-the-forgotten-witch-vol-1/,Seven Seas Entertainment,A Cat from Our World and the Forgotten Witch,1,Physical,979-8-88843-259-4,2024-01-02,JP,manga
acatfromourworldandtheforgottenwitch,https://sevenseasentertainment.com/books/a-cat-from-our-world-and-the-forgotten-witch-vol-2/,Seven Seas Entertainment,A Cat from Our World and the Forgotten Witch,2,Physical,979-8-88843-580-9,2024-05-14,JP,manga
acatfromourworldandtheforgottenwitch,https://sevenseasentertainment.com/books/a-cat-from-our-world-and-the-forgotten-witch-vol-3/,Seven Seas Entertainment,A Cat from Our World and the Forgotten Witch,3,Physical,979-8-88843-949-4,2024-09-10,JP,manga
acatfromourworldandtheforgottenwitch,https://sevenseasentertainment.com/books/a-cat-from-our-world-and-the-forgotten-witch-vol-4/,Seven Seas Entertainment,A Cat from Our World and the Forgotten Witch,4,Physical,979-8-89160-173-4,2025-01-21,JP,manga
acatfromourworldandtheforgottenwitch,https://sevenseasentertainment.com/books/a-cat-from-our-world-and-the-forgotten-witch-vol-5/,Seven Seas Entertainment,A Cat from Our World and the Forgotten Witch,5,Physical,979-8-89160-958-7,2025-05-20,JP,manga
acatisacatinanylife,https://squareenixmangaandbooks.square-enix-games.com/en-us/product/9781646094714,Square Enix,A Cat Is a Cat in Any Life (2-in-1 Edition),1,Digital,,2026-05-19,JP,manga
acatisacatinanylife,https://squareenixmangaandbooks.square-enix-games.com/en-us/product/9781646094714,Square Enix,A Cat Is a Cat in Any Life (2-in-1 Edition),1,Paperback,9781646094714,2026-05-19,JP,manga
acavekingsroadtoparadiseclimbingtothetopwithmyalmightyminingskills,https://j-novel.club/series/a-cave-king-s-road-to-paradise-climbing-to-the-top-with-my-almighty-mining-skills-manga#volume-1,J-Novel Club,A Cave King's Road to Paradise: Climbing to the Top with My Almighty Mining Skills!,1,Digital,,2023-03-22,JP,manga
acavekingsroadtoparadiseclimbingtothetopwithmyalmightyminingskills,https://j-novel.club/series/a-cave-king-s-road-to-paradise-climbing-to-the-top-with-my-almighty-mining-skills-manga#volume-2,J-Novel Club,A Cave King's Road to Paradise: Climbing to the Top with My Almighty Mining Skills!,2,Digital,,2023-07-05,JP,manga
acavekingsroadtoparadiseclimbingtothetopwithmyalmightyminingskills,https://j-novel.club/series/a-cave-king-s-road-to-paradise-climbing-to-the-top-with-my-almighty-mining-skills-manga#volume-3,J-Novel Club,A Cave King's Road to Paradise: Climbing to the Top with My Almighty Mining Skills!,3,Digital,,2023-09-27,JP,manga
acavekingsroadtoparadiseclimbingtothetopwithmyalmightyminingskills,https://j-novel.club/series/a-cave-king-s-road-to-paradise-climbing-to-the-top-with-my-almighty-mining-skills-manga#volume-4,J-Novel Club,A Cave King's Road to Paradise: Climbing to the Top with My Almighty Mining Skills!,4,Digital,,2023-12-20,JP,manga
acavekingsroadtoparadiseclimbingtothetopwithmyalmightyminingskills,https://j-novel.club/series/a-cave-king-s-road-to-paradise-climbing-to-the-top-with-my-almighty-mining-skills-manga#volume-5,J-Novel Club,A Cave King's Road to Paradise: Climbing to the Top with My Almighty Mining Skills!,5,Digital,,2024-03-13,JP,manga
acavekingsroadtoparadiseclimbingtothetopwithmyalmightyminingskills,https://j-novel.club/series/a-cave-king-s-road-to-paradise-climbing-to-the-top-with-my-almighty-mining-skills-manga#volume-6,J-Novel Club,A Cave King's Road to Paradise: Climbing to the Top with My Almighty Mining Skills!,6,Digital,,2025-06-18,JP,manga
acavekingsroadtoparadiseclimbingtothetopwithmyalmightyminingskills,https://j-novel.club/series/a-cave-king-s-road-to-paradise-climbing-to-the-top-with-my-almighty-mining-skills-manga#volume-7,J-Novel Club,A Cave King's Road to Paradise: Climbing to the Top with My Almighty Mining Skills!,7,Digital,,2025-09-10,JP,manga
acca13territoryinspectiondepartment,https://yenpress.com/titles/9780316446754-acca-13-territory-inspection-department-vol-1,Yen Press,ACCA 13-Territory Inspection Department,1,Digital,9780316446754,2017-11-28,JP,manga
acca13territoryinspectiondepartment,https://yenpress.com/titles/9780316446778-acca-13-territory-inspection-department-vol-2,Yen Press,ACCA 13-Territory Inspection Department,2,Digital,9780316446778,2018-03-20,JP,manga
acca13territoryinspectiondepartment,https://yenpress.com/titles/9780316446709-acca-13-territory-inspection-department-vol-3,Yen Press,ACCA 13-Territory Inspection Department,3,Digital,9780316446709,2018-06-05,JP,manga
acca13territoryinspectiondepartment,https://yenpress.com/titles/9780316446792-acca-13-territory-inspection-department-vol-4,Yen Press,ACCA 13-Territory Inspection Department,4,Digital,9780316446792,2018-08-21,JP,manga
acca13territoryinspectiondepartment,https://yenpress.com/titles/9780316446839-acca-13-territory-inspection-department-vol-5,Yen Press,ACCA 13-Territory Inspection Department,5,Digital,9780316446839,2018-11-13,JP,manga
acca13territoryinspectiondepartment,https://yenpress.com/titles/9781975382780-acca-13-territory-inspection-department-vol-6,Yen Press,ACCA 13-Territory Inspection Department,6,Digital,9781975382780,2019-02-26,JP,manga
acca13territoryinspectiondepartment,https://yenpress.com/titles/9781975316167-acca-13-territory-inspection-department-p-s-vol-1,Yen Press,ACCA 13-Territory Inspection Department P.S.,1,Digital,9781975316167,2020-10-06,JP,manga
acca13territoryinspectiondepartment,https://yenpress.com/titles/9781975317416-acca-13-territory-inspection-department-p-s-vol-2,Yen Press,ACCA 13-Territory Inspection Department P.S.,2,Digital,9781975317416,2020-12-15,JP,manga
acca13territoryinspectiondepartment,https://yenpress.com/titles/9780316412766-acca-13-territory-inspection-department-vol-1,Yen Press,ACCA 13-Territory Inspection Department,1,Paperback,9780316412766,2017-11-28,JP,manga
acca13territoryinspectiondepartment,https://yenpress.com/titles/9780316415965-acca-13-territory-inspection-department-vol-2,Yen Press,ACCA 13-Territory Inspection Department,2,Paperback,9780316415965,2018-03-20,JP,manga
acca13territoryinspectiondepartment,https://yenpress.com/titles/9780316446679-acca-13-territory-inspection-department-vol-3,Yen Press,ACCA 13-Territory Inspection Department,3,Paperback,9780316446679,2018-06-05,JP,manga
acca13territoryinspectiondepartment,https://yenpress.com/titles/9780316446785-acca-13-territory-inspection-department-vol-4,Yen Press,ACCA 13-Territory Inspection Department,4,Paperback,9780316446785,2018-08-21,JP,manga
acca13territoryinspectiondepartment,https://yenpress.com/titles/9780316446822-acca-13-territory-inspection-department-vol-5,Yen Press,ACCA 13-Territory Inspection Department,5,Paperback,9780316446822,2018-11-13,JP,manga
acca13territoryinspectiondepartment,https://yenpress.com/titles/9781975382773-acca-13-territory-inspection-department-vol-6,Yen Press,ACCA 13-Territory Inspection Department,6,Paperback,9781975382773,2019-02-26,JP,manga
acca13territoryinspectiondepartment,https://yenpress.com/titles/9781975316150-acca-13-territory-inspection-department-p-s-vol-1,Yen Press,ACCA 13-Territory Inspection Department P.S.,1,Paperback,9781975316150,2020-10-06,JP,manga
acca13territoryinspectiondepartment,https://yenpress.com/titles/9781975317409-acca-13-territory-inspection-department-p-s-vol-2,Yen Press,ACCA 13-Territory Inspection Department P.S.,2,Paperback,9781975317409,2020-12-15,JP,manga
accelworld,https://yenpress.com/titles/9780316296533-accel-world-vol-1-manga,Yen Press,Accel World,1,Digital,9780316296533,2014-09-23,JP,manga
accelworld,https://yenpress.com/titles/9780316296557-accel-world-vol-2-manga,Yen Press,Accel World,2,Digital,9780316296557,2014-12-16,JP,manga
accelworld,https://yenpress.com/titles/9780316296571-accel-world-vol-3-manga,Yen Press,Accel World,3,Digital,9780316296571,2015-03-24,JP,manga
accelworld,https://yenpress.com/titles/9780316304511-accel-world-vol-4-manga,Yen Press,Accel World,4,Digital,9780316304511,2015-07-21,JP,manga
accelworld,https://yenpress.com/titles/9780316306157-accel-world-vol-5-manga,Yen Press,Accel World,5,Digital,9780316306157,2015-10-27,JP,manga
accelworld,https://yenpress.com/titles/9780316270250-accel-world-vol-6-manga,Yen Press,Accel World,6,Digital,9780316270250,2016-01-26,JP,manga
accelworld,https://yenpress.com/titles/9780316474450-accel-world-vol-7-manga,Yen Press,Accel World,7,Digital,9780316474450,2017-03-21,JP,manga
accelworld,https://yenpress.com/titles/9781975329143-accel-world-vol-8-manga,Yen Press,Accel World,8,Digital,9781975329143,2018-12-11,JP,manga
accelworld,https://yenpress.com/titles/9780316335867-accel-world-vol-1-manga,Yen Press,Accel World,1,Paperback,9780316335867,2014-09-23,JP,manga
accelworld,https://yenpress.com/titles/9780316296342-accel-world-vol-2-manga,Yen Press,Accel World,2,Paperback,9780316296342,2014-12-16,JP,manga
accelworld,https://yenpress.com/titles/9780316296359-accel-world-vol-3-manga,Yen Press,Accel World,3,Paperback,9780316296359,2015-03-24,JP,manga
accelworld,https://yenpress.com/titles/9780316302166-accel-world-vol-4-manga,Yen Press,Accel World,4,Paperback,9780316302166,2015-07-21,JP,manga
accelworld,https://yenpress.com/titles/9780316306140-accel-world-vol-5-manga,Yen Press,Accel World,5,Paperback,9780316306140,2015-10-27,JP,manga
accelworld,https://yenpress.com/titles/9780316268981-accel-world-vol-6-manga,Yen Press,Accel World,6,Paperback,9780316268981,2016-01-26,JP,manga
accelworld,https://yenpress.com/titles/9780316469203-accel-world-vol-7-manga,Yen Press,Accel World,7,Paperback,9780316469203,2017-03-21,JP,manga
accelworld,https://yenpress.com/titles/9781975329136-accel-world-vol-8-manga,Yen Press,Accel World,8,Paperback,9781975329136,2018-12-11,JP,manga
acception,https://www.penguinrandomhouse.com/books/775666/acception-vol-1-by-coco-ouwerkwerk/9781998854875,WEBTOON Unscrolled,Acception,1,Paperback,9781998854875,2025-05-27,other,webtoon
acception,https://www.penguinrandomhouse.com/books/782034/acception-vol-2-by-coco-ouwerkerk/9781998341276,WEBTOON Unscrolled,Acception,2,Paperback,9781998341276,2025-12-02,other,webtoon
accidentalassassin,https://www.penguinrandomhouse.com/books/827228/accidental-assassin-vol-1-by-molly-ni-cheileachair/9781834110509,WEBTOON Unscrolled,Accidental Assassin,1,Paperback,9781834110509,2026-09-01,other,webtoon
accomplishmentsofthedukesdaughter,https://sevenseasentertainment.com/books/accomplishments-of-the-dukes-daughter-manga-vol-1/,Seven Seas Entertainment,Accomplishments of the Duke's Daughter,1,Physical,978-1-626928-66-4,2018-08-07,JP,manga
accomplishmentsofthedukesdaughter,https://sevenseasentertainment.com/books/accomplishments-of-the-dukes-daughter-manga-vol-2/,Seven Seas Entertainment,Accomplishments of the Duke's Daughter,2,Physical,978-1-626929-66-1,2018-12-04,JP,manga
accomplishmentsofthedukesdaughter,https://sevenseasentertainment.com/books/accomplishments-of-the-dukes-daughter-manga-vol-3/,Seven Seas Entertainment,Accomplishments of the Duke's Daughter,3,Physical,978-1-642750-18-8,2019-04-23,JP,manga
accomplishmentsofthedukesdaughter,https://sevenseasentertainment.com/books/accomplishments-of-the-dukes-daughter-manga-vol-4/,Seven Seas Entertainment,Accomplishments of the Duke's Daughter,4,Physical,978-1-642751-14-7,2019-08-13,JP,manga
accomplishmentsofthedukesdaughter,https://sevenseasentertainment.com/books/accomplishments-of-the-dukes-daughter-manga-vol-5/,Seven Seas Entertainment,Accomplishments of the Duke's Daughter,5,Physical,978-1-642757-26-2,2019-11-05,JP,manga
